group_num	group	label	fingerprint	size	support_a	support_b	date_a	date_b	core_size	extra_count	extra_tips
1	1464		4208303076419715594	1464	0.0357	1.0000	2014.3338	2014.3311	1464	0	
2	1098-1100	X	1133435413859384573	1100	0.0742	0.9929	2014.3678	2014.3655	1098	2	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04
2	1098-1100	X'	11774686227717232978	1098	0.7332	0.0000	2014.3664		1098	0	
3	752-755	Y_1	15512943217666836143	755	0.0000	0.3652		2014.4154	752	3	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04,EBOV-G4200.1-KR105217-SLE-Kenema|2014-07-08
3	752-755	Y_2	9406187989066844029	754	0.0000	0.4494		2014.4161	752	2	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04
3	752-755	Y_3	8906950833791099648	753	0.3524	0.0000	2014.4165		752	1	EBOV-G4200.1-KR105217-SLE-Kenema|2014-07-08
3	752-755	Y_4	3340453893401912018	752	0.4750	0.0014	2014.4174	2014.4343	752	0	
4	198		9198657040926147	198	0.4722	0.2454	2014.6843	2014.6812	198	0	
5	44-45		6994302683409077455	45	0.3951	0.0029	2015.0449	2015.0464	44	1	EBOV-12242_EMLH-KU296604-SLE-WesternUrban|2015-02-28
5	44-45		10111186146990148269	44	0.0000	0.5107		2015.0465	44	0	
6	44		18265302746859495187	44	0.1641	0.3994	2015.2602	2015.2570	44	0	
7	36-39		8967692053396581725	39	0.0000	0.2853		2015.0645	36	3	EBOV-12242_EMLH-KU296604-SLE-WesternUrban|2015-02-28,EBOV-PL5019-KU296627-SLE-PortLoko|2015-03-19,EBOV-PL5202-KU296396-SLE-PortLoko|2015-03-23
7	36-39		14808861807740213962	36	0.3352	0.0029	2015.0673	2015.0777	36	0	
8	26-27		11083715941433763484	27	0.9629	0.0000	2014.4714		25	2	EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13,EBOV-EM_079388-KR817178-GIN-Macenta|2014-07-30
8	26-27		9934396604235578365	26	0.4051	1.0000	2014.4911	2014.4954	25	1	EBOV-EM_079388-KR817178-GIN-Macenta|2014-07-30
8	26-27		14617645963812988143	26	0.2411	0.0000	2014.4879		25	1	EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13
